test,bits,trials,total,avg
mod_mult,160,100,4308041,43080
mod_mult,160,1000,42640421,42640
mod_mult,160,10000,429907296,42990
mod_mult,128,100,2755721,27557
mod_mult,128,1000,27442900,27442
mod_mult,128,10000,277440046,27744
mod_mult,80,100,1705962,17059
mod_mult,80,1000,17500809,17500
mod_mult,80,10000,170906892,17090
mod_add,160,100,49493,494
mod_add,160,1000,581566,581
mod_add,160,10000,5093705,509
mod_add,128,100,44194,441
mod_add,128,1000,436811,436
mod_add,128,10000,4411192,441
mod_add,80,100,32684,326
mod_add,80,1000,293212,293
mod_add,80,10000,2867810,286
sha,160,100,80713,807
sha,160,1000,608000,608
sha_160,10000,5982620,598
