test,bits/modulus,trials,total,average
mod_add_2power,18446744073709551616,1000,1267333,1267
mod_add_2power,340282366920938463463374607431768211456,1000,4686551,4686
mod_mult_prime,64,10000,106938406,10693
mod_mult_2power,4294967296,10000,46681544,4668
mod_mult_2power,18446744073709551616,10000,49152702,4915
mod_mult_2power,340282366920938463463374607431768211456,10000,59074467,5907
mod_add_prime,64,10000,3954170,395
mod_add_2power,4294967296,10000,13472875,1347
mod_add_2power,18446744073709551616,10000,14233727,1423
mod_add_2power,340282366920938463463374607431768211456,10000,25026909,2502
mod_mult_prime,128,100,2762091,27620
mod_mult_2power,4294967296,100,2746993,27469
mod_mult_2power,18446744073709551616,100,2730711,27307
mod_mult_2power,340282366920938463463374607431768211456,100,3715275,37152
mod_add_prime,128,100,67887,678
mod_add_2power,4294967296,100,504917,5049
mod_add_2power,18446744073709551616,100,250042,2500
mod_add_2power,340282366920938463463374607431768211456,100,948405,9484
mod_mult_prime,128,1000,28287037,28287
mod_mult_2power,4294967296,1000,19204217,19204
mod_mult_2power,18446744073709551616,1000,13820941,13820
mod_mult_2power,340282366920938463463374607431768211456,1000,20329042,20329
mod_add_prime,128,1000,639475,639
mod_add_2power,4294967296,1000,4823416,4823
mod_add_2power,18446744073709551616,1000,3915615,3915
mod_add_2power,340282366920938463463374607431768211456,1000,7672145,7672
mod_mult_prime,128,10000,276147583,27614
mod_mult_2power,4294967296,10000,116610859,11661
mod_mult_2power,18446744073709551616,10000,123929270,12392
mod_mult_2power,340282366920938463463374607431768211456,10000,155049304,15504
mod_add_prime,128,10000,6421893,642
mod_add_2power,4294967296,10000,21968536,2196
mod_add_2power,18446744073709551616,10000,28312684,2831
mod_add_2power,340282366920938463463374607431768211456,10000,49803010,4980
sha_160,128,100,79626,796
sha_160,128,1000,601754,601
sha_160,128,10000,5891619,589
